seed,condition,label,score_manifold,score_naive
46,zz_scale_0.05,1,3.6111266283505254,8.984215732658441
46,zz_scale_0.05,1,4.22302102305936,9.416941152357822
46,zz_scale_0.05,1,3.6461608440585236,8.350889398095486
46,zz_scale_0.05,1,4.124214703237714,9.8068898426136
46,zz_scale_0.05,1,4.221683635657915,9.07214886995746
46,zz_scale_0.05,1,3.5656009378307183,7.755876408212542
46,zz_scale_0.05,1,4.1676083895142195,8.246235141124524
46,zz_scale_0.05,1,3.9686573858245198,8.66256432816476
46,zz_scale_0.05,1,4.1466098187985585,9.075470730541879
46,zz_scale_0.05,1,3.254584166728329,9.436385295695025
46,zz_scale_0.15,1,4.237931818516868,9.234722822568186
46,zz_scale_0.15,1,3.949930481671102,8.500323027417089
46,zz_scale_0.15,1,3.5134490856148375,8.817680068744627
46,zz_scale_0.15,1,3.557906649599568,8.16838515158556
46,zz_scale_0.15,1,4.309618427766987,8.734842680804077
46,zz_scale_0.15,1,4.499373933054779,9.505391840989589
46,zz_scale_0.15,1,4.1985644854454245,8.515595922567309
46,zz_scale_0.15,1,4.107248043133427,8.558633240988184
46,zz_scale_0.15,1,4.265459252777616,9.143317601304588
46,zz_scale_0.15,1,3.4639177800986656,9.174480385434707
46,zz_scale_0.15,1,4.218625499556784,8.898585565871374
46,zz_scale_0.15,1,4.028773334583778,8.364546232636693
46,zz_scale_0.15,1,4.341541042216477,9.643104555968902
46,zz_scale_0.15,1,4.5245758834696925,9.863411097329656
46,zz_scale_0.15,1,3.7564049573129177,8.361428190434399
46,zz_scale_0.3,1,4.708998768376161,8.99746734840773
46,zz_scale_0.3,1,4.916950131757286,9.598265494829292
46,zz_scale_0.3,1,4.398781156788941,9.790739495030335
46,zz_scale_0.3,1,4.926268612423273,10.39134509984547
46,zz_scale_0.3,1,4.690926731241991,9.28325644279249
46,zz_scale_0.3,1,4.5396357015203215,9.556210771918579
46,zz_scale_0.3,1,5.05160340315002,9.826222972723313
46,zz_scale_0.3,1,4.623288760278798,9.937125345143906
46,zz_scale_0.3,1,5.196180482765845,9.932129581774706
46,zz_scale_0.3,1,4.084691446989174,9.161822758274358
46,zz_scale_0.3,1,4.159216798007613,8.764614697284104
46,zz_scale_0.3,1,4.784178900539215,9.720575609996661
46,zz_scale_0.3,1,5.011915887437387,9.777785324752331
46,zz_scale_0.3,1,4.685718521644415,9.251476139849858
46,zz_scale_0.3,1,4.550516067518661,9.116547033866805
46,zz_scale_0.6,1,6.1964403018183125,11.20946795936729
46,zz_scale_0.6,1,6.165719508458382,11.167235847869154
46,zz_scale_0.6,1,5.468888563518015,9.932254330266526
46,zz_scale_0.6,1,6.535962838098702,11.332618509066
46,zz_scale_0.6,1,5.475438518473392,10.727036116258414
46,zz_scale_0.6,1,5.308433476014413,11.364877502365063
46,zz_scale_0.6,1,5.423238709715816,11.128960014154881
46,zz_scale_0.6,1,5.253330977878636,10.839693779196688
46,zz_scale_0.6,1,5.431540605284197,11.104886223540841
46,zz_scale_0.6,1,6.051877339806592,11.26558986276524
46,zz_scale_0.6,1,5.265363072414276,10.42402618116795
46,zz_scale_0.6,1,5.567365834127115,10.594807196775221
46,zz_scale_0.6,1,6.062745989433069,11.13118228825992
46,zz_scale_0.6,1,5.427491895349033,10.81677597510638
46,zz_scale_0.6,1,5.045106832123078,9.732363673792502
46,zz_scale_1.0,1,6.657102310594519,12.11710285836593
46,zz_scale_1.0,1,6.386722910634728,12.425344221374454
46,zz_scale_1.0,1,6.228391578060736,12.348918676069719
46,zz_scale_1.0,1,6.227003021728578,11.713041843214853
46,zz_scale_1.0,1,6.863420132523743,12.731389643889889
46,zz_scale_1.0,1,6.4587804061046254,11.944635055194738
46,zz_scale_1.0,1,6.130628275392725,11.984138795299273
46,zz_scale_1.0,1,6.553572431294426,12.381432415365175
46,zz_scale_1.0,1,6.191479164526858,12.357631040839934
46,zz_scale_1.0,1,5.741492556270947,11.848430119819628
46,zz_scale_1.0,1,5.85939985570537,12.196972257997475
46,zz_scale_1.0,1,5.953745142571637,12.192024062533891
46,zz_scale_1.0,1,6.136158428143027,11.65120039505706
46,zz_scale_1.0,1,5.584683055954475,12.300099713728155
46,zz_scale_1.0,1,6.215170610770592,11.836569262395672
46,z_only,1,5.955619425049653,12.062480922717855
46,z_only,1,6.378699186007213,11.45738596531857
46,z_only,1,5.728039490121799,12.092473353796137
46,z_only,1,5.68087256213997,11.753718097937863
46,z_only,1,5.571840784836631,12.199255389767677
46,z_only,1,5.832618959373503,11.836107786513473
46,z_only,1,5.891693737671259,12.102473503765719
46,z_only,1,5.941759446873668,12.005811383157521
46,z_only,1,6.194273261490402,12.475208266982058
46,z_only,1,6.589037304356271,12.171239754031296
46,z_only,1,5.890358923996111,11.392756233598396
46,z_only,1,6.012251502876908,11.257007148706442
46,z_only,1,5.969333785531249,11.801992191957144
46,z_only,1,5.8884620135136085,11.869115905767398
46,z_only,1,5.359592584425033,11.156771824015047
47,clean,0,3.7263316770789174,7.024027996269242
47,clean,0,3.4491136533432294,6.621092532231163
47,clean,0,4.259734995011521,6.983767314696811
47,clean,0,3.4989321365870434,6.48302978351775
47,clean,0,4.6273448499137215,7.768161335643727
47,clean,0,3.8538070731200964,7.200981516937325
47,clean,0,3.9425560484565207,7.6094862504243075
47,clean,0,3.6945532076678083,7.324710326539921
47,clean,0,3.32439744994029,7.167766829289792
47,clean,0,4.028805800671351,7.2954801877188
47,clean,0,3.5193746103480392,6.3656538796220525
47,clean,0,4.1865589044409,7.334741216018521
47,clean,0,3.7498569968722997,6.860459211672835
47,clean,0,3.9384776631233334,7.227621075591872
47,clean,0,4.200606547828483,7.101468761260873
47,zz_scale_0.05,1,4.260314022768052,8.342910630147955
47,zz_scale_0.05,1,3.70759722146639,7.133891644286674
47,zz_scale_0.05,1,3.957291516547126,7.319358679549384
47,zz_scale_0.05,1,3.7524342844971903,7.687423603973218
47,zz_scale_0.05,1,3.8315101510384233,7.399475858550267
47,zz_scale_0.05,1,3.823059286351189,7.541433042324237
47,zz_scale_0.05,1,3.575826700522356,7.4043600278452715
