seed,noise_p,condition,label,delta_pilot
44,0.01,zz_full,1,7.0416664333534325
44,0.01,zz_full,1,6.662370938804502
44,0.01,zz_full,1,6.748361308103793
44,0.01,z_only,1,5.909843578203659
44,0.01,z_only,1,6.227734272283219
44,0.01,z_only,1,6.360716840471359
44,0.01,z_only,1,6.089193650528941
44,0.01,z_only,1,5.99431129448262
44,0.01,z_only,1,6.0998584605041595
44,0.01,z_only,1,5.9239958474420025
44,0.01,z_only,1,7.092558805034437
44,0.01,z_only,1,5.8798380562980235
44,0.01,z_only,1,5.926620556355896
44,0.01,z_only,1,5.8639299759445
44,0.01,z_only,1,6.1029953451968355
44,0.01,z_only,1,6.355658625185719
44,0.01,z_only,1,6.407663610175913
44,0.01,z_only,1,6.55879564136509
44,0.02,clean,0,3.9009787913177254
44,0.02,clean,0,3.887227157676797
44,0.02,clean,0,3.610966988012583
44,0.02,clean,0,4.176898058245584
44,0.02,clean,0,3.956615472728596
44,0.02,clean,0,3.5429134431058573
44,0.02,clean,0,4.201925063374407
44,0.02,clean,0,4.162080618627188
44,0.02,clean,0,4.000558379538544
44,0.02,clean,0,4.080253170083724
44,0.02,clean,0,4.142948900427155
44,0.02,clean,0,3.8453348738261712
44,0.02,clean,0,3.90992212460447
44,0.02,clean,0,3.779456709554278
44,0.02,clean,0,4.154820066307283
44,0.02,zz_full,1,6.254688288245272
44,0.02,zz_full,1,6.4550103690209575
44,0.02,zz_full,1,6.239257242424043
44,0.02,zz_full,1,5.727706386452358
44,0.02,zz_full,1,6.275232618989418
44,0.02,zz_full,1,6.387065630550244
44,0.02,zz_full,1,6.811995623642407
44,0.02,zz_full,1,6.723164584307176
44,0.02,zz_full,1,6.752815390322443
44,0.02,zz_full,1,6.48714284494979
44,0.02,zz_full,1,6.685964079636
44,0.02,zz_full,1,6.03397444122923
44,0.02,zz_full,1,6.056144543167868
44,0.02,zz_full,1,6.240999874043589
44,0.02,zz_full,1,6.436968554358163
44,0.02,z_only,1,6.2800305829824286
44,0.02,z_only,1,5.810809750910208
44,0.02,z_only,1,5.842596019491964
44,0.02,z_only,1,6.104948120679596
44,0.02,z_only,1,6.4192238306333484
44,0.02,z_only,1,6.50877364651272
44,0.02,z_only,1,6.975581363262941
44,0.02,z_only,1,6.067907827169762
44,0.02,z_only,1,6.424899271490559
44,0.02,z_only,1,5.923384654251176
44,0.02,z_only,1,5.931022435066191
44,0.02,z_only,1,5.8284839032523585
44,0.02,z_only,1,6.201456741455046
44,0.02,z_only,1,6.097006374083984
44,0.02,z_only,1,5.7213269177121555
44,0.05,clean,0,4.327568016596732
44,0.05,clean,0,4.362368145477422
44,0.05,clean,0,4.531978065597524
44,0.05,clean,0,4.21805947123712
44,0.05,clean,0,4.079361090153879
44,0.05,clean,0,4.22697883228598
44,0.05,clean,0,4.127844362033075
44,0.05,clean,0,3.937579642103779
44,0.05,clean,0,3.9012674464744754
44,0.05,clean,0,4.640872745009331
44,0.05,clean,0,4.312328928761842
44,0.05,clean,0,4.256540655690352
44,0.05,clean,0,4.177815933446994
44,0.05,clean,0,3.9946139447608218
44,0.05,clean,0,3.981679226653613
44,0.05,zz_full,1,6.57358464618154
44,0.05,zz_full,1,5.8733713550216775
44,0.05,zz_full,1,6.816372887120361
44,0.05,zz_full,1,6.121508438963132
44,0.05,zz_full,1,6.246715799022355
44,0.05,zz_full,1,6.289669456148897
44,0.05,zz_full,1,6.1501677098637035
44,0.05,zz_full,1,6.423867187868695
44,0.05,zz_full,1,6.105603593861406
44,0.05,zz_full,1,6.4228948760403295
44,0.05,zz_full,1,6.138552761562676
44,0.05,zz_full,1,5.975271520757783
44,0.05,zz_full,1,6.037099035476363
44,0.05,zz_full,1,6.237702140978513
44,0.05,zz_full,1,6.017534935188217
44,0.05,z_only,1,5.958755534032121
44,0.05,z_only,1,6.277740810112618
44,0.05,z_only,1,5.751811295891441
44,0.05,z_only,1,5.968447002575046
44,0.05,z_only,1,6.339190882102679
44,0.05,z_only,1,5.713394143328664
44,0.05,z_only,1,5.821949501601398
44,0.05,z_only,1,6.60796878940688
44,0.05,z_only,1,5.874658704013266
44,0.05,z_only,1,6.872222283850805
44,0.05,z_only,1,5.973489838265817
44,0.05,z_only,1,6.297898181325303
44,0.05,z_only,1,6.295287562542551
44,0.05,z_only,1,5.50997402625767
44,0.05,z_only,1,6.313550020777461
44,0.1,clean,0,3.923431344937742
44,0.1,clean,0,4.540606144995865
44,0.1,clean,0,4.258665564783229
44,0.1,clean,0,4.140189778755791
44,0.1,clean,0,3.9797858421900365
44,0.1,clean,0,4.918183563201439
44,0.1,clean,0,4.306774300460222
44,0.1,clean,0,3.7458772190243135
44,0.1,clean,0,4.270004401224516
