seed,damping_g,condition,label,delta_pilot
43,0.05,z_only,1,5.3318160258974485
43,0.05,z_only,1,5.56174413905256
43,0.05,z_only,1,6.050908531588293
43,0.05,z_only,1,5.646677497154225
43,0.05,z_only,1,5.7029661387187724
43,0.05,z_only,1,5.988334285945551
43,0.05,z_only,1,5.6416707211617085
43,0.05,z_only,1,5.429512919484064
43,0.05,z_only,1,5.969871736408441
43,0.1,clean,0,3.091554375508111
43,0.1,clean,0,4.309033706220154
43,0.1,clean,0,4.314275460218706
43,0.1,clean,0,3.9477393634331914
43,0.1,clean,0,3.6079292907866627
43,0.1,clean,0,4.353902547020663
43,0.1,clean,0,3.8254544709583196
43,0.1,clean,0,3.376951390929416
43,0.1,clean,0,3.6092840702741382
43,0.1,clean,0,3.5332485325444396
43,0.1,clean,0,4.083690135663706
43,0.1,clean,0,4.118412930282908
43,0.1,clean,0,3.672924244829645
43,0.1,clean,0,3.7633983533537085
43,0.1,clean,0,4.368638492713249
43,0.1,zz_full,1,5.832824874589387
43,0.1,zz_full,1,5.790767407664028
43,0.1,zz_full,1,5.4852411232838465
43,0.1,zz_full,1,5.991565547531397
43,0.1,zz_full,1,5.962394672987956
43,0.1,zz_full,1,6.222587384675393
43,0.1,zz_full,1,5.794772887655116
43,0.1,zz_full,1,5.9913131217488065
43,0.1,zz_full,1,6.291614055475414
43,0.1,zz_full,1,5.741491117379612
43,0.1,zz_full,1,5.885553953917277
43,0.1,zz_full,1,5.6636242235383225
43,0.1,zz_full,1,5.885296196579419
43,0.1,zz_full,1,5.9516396962660965
43,0.1,zz_full,1,5.844694076555149
43,0.1,z_only,1,5.5629412471485455
43,0.1,z_only,1,5.24036431837227
43,0.1,z_only,1,5.279196817851164
43,0.1,z_only,1,5.823740571120188
43,0.1,z_only,1,5.251688466231645
43,0.1,z_only,1,5.48290193412508
43,0.1,z_only,1,5.645531090749797
43,0.1,z_only,1,5.10411265483336
43,0.1,z_only,1,5.586612573680293
43,0.1,z_only,1,5.715209816437694
43,0.1,z_only,1,4.984208990735086
43,0.1,z_only,1,5.326027817787357
43,0.1,z_only,1,4.907635861350664
43,0.1,z_only,1,5.81078621156204
43,0.1,z_only,1,5.882528972136826
44,0.0,clean,0,3.763278406470396
44,0.0,clean,0,3.781244965066158
44,0.0,clean,0,4.170304273828539
44,0.0,clean,0,3.908277271959773
44,0.0,clean,0,4.236378843241274
44,0.0,clean,0,4.6516970134606215
44,0.0,clean,0,3.7256019668066456
44,0.0,clean,0,3.815712148662034
44,0.0,clean,0,4.540712590676781
44,0.0,clean,0,3.9332671258659637
44,0.0,clean,0,4.373747320229326
44,0.0,clean,0,3.8838058183709006
44,0.0,clean,0,4.085551574208254
44,0.0,clean,0,3.7513294868305476
44,0.0,clean,0,3.7736445416417626
44,0.0,zz_full,1,6.0175695447843065
44,0.0,zz_full,1,6.792774288987311
44,0.0,zz_full,1,6.878453575202181
44,0.0,zz_full,1,5.573153624996429
44,0.0,zz_full,1,6.83175869936468
44,0.0,zz_full,1,6.7557333563713495
44,0.0,zz_full,1,6.329700523099125
44,0.0,zz_full,1,6.082964012217259
44,0.0,zz_full,1,6.1887061240538035
44,0.0,zz_full,1,5.909605321881207
44,0.0,zz_full,1,6.678522564861874
44,0.0,zz_full,1,6.438066755058362
44,0.0,zz_full,1,5.6927495209894765
44,0.0,zz_full,1,6.0583507678381325
44,0.0,zz_full,1,6.512167871511604
44,0.0,z_only,1,6.363767771816275
44,0.0,z_only,1,6.383272806973602
44,0.0,z_only,1,6.063187501500765
44,0.0,z_only,1,6.955632278471204
44,0.0,z_only,1,6.461981352531756
44,0.0,z_only,1,6.417812157772402
44,0.0,z_only,1,6.338894488667684
44,0.0,z_only,1,6.179955299057598
44,0.0,z_only,1,6.7910772506922985
44,0.0,z_only,1,6.2280159840400575
44,0.0,z_only,1,6.042332301352693
44,0.0,z_only,1,5.680777974756258
44,0.0,z_only,1,6.239923974761996
44,0.0,z_only,1,6.238193876201921
44,0.0,z_only,1,5.804557978022872
44,0.01,clean,0,4.623138672396834
44,0.01,clean,0,4.067228063480724
44,0.01,clean,0,4.158571878540601
44,0.01,clean,0,4.189101060134646
44,0.01,clean,0,4.5324941948406705
44,0.01,clean,0,3.554958265595515
44,0.01,clean,0,4.286990146596644
44,0.01,clean,0,4.704013964002955
44,0.01,clean,0,3.647908021727248
44,0.01,clean,0,3.8277917640712493
44,0.01,clean,0,4.285220669368281
44,0.01,clean,0,3.5522211472338934
44,0.01,clean,0,3.9773789033553477
44,0.01,clean,0,3.661195306677319
44,0.01,clean,0,4.010875929553918
44,0.01,zz_full,1,6.5711453675769
44,0.01,zz_full,1,6.242371147795366
44,0.01,zz_full,1,6.379550830828868
44,0.01,zz_full,1,6.429284841662175
44,0.01,zz_full,1,6.32620450692405
44,0.01,zz_full,1,6.347979794196461
44,0.01,zz_full,1,5.545461382844999
44,0.01,zz_full,1,6.63304988222958
44,0.01,zz_full,1,6.970481681736389
44,0.01,zz_full,1,6.4537045443410035
44,0.01,zz_full,1,6.089026670466788
44,0.01,zz_full,1,6.367456356674562
44,0.01,zz_full,1,6.7531740946121905
44,0.01,zz_full,1,6.028455243612879
44,0.01,zz_full,1,6.617902001261365
44,0.01,z_only,1,5.904295016686071
44,0.01,z_only,1,6.717001957945963
44,0.01,z_only,1,5.976485553672317
44,0.01,z_only,1,6.303744995582352
44,0.01,z_only,1,6.393278733205765
44,0.01,z_only,1,6.020421694821293
44,0.01,z_only,1,6.241066602300716
44,0.01,z_only,1,6.040380716612155
44,0.01,z_only,1,6.446964220445217
44,0.01,z_only,1,5.845369020145306
44,0.01,z_only,1,5.93656477012317
44,0.01,z_only,1,5.793968776350245
44,0.01,z_only,1,5.670249627622727
44,0.01,z_only,1,6.258961857022246
44,0.01,z_only,1,6.6564948594996105
44,0.02,clean,0,4.283978995743647
44,0.02,clean,0,3.8587113721600845
44,0.02,clean,0,3.7397577675132574
44,0.02,clean,0,4.613129648435551
44,0.02,clean,0,4.099888684359028
44,0.02,clean,0,3.4740911554600356
44,0.02,clean,0,3.4658141553822794
44,0.02,clean,0,4.6475953588461625
44,0.02,clean,0,4.13842455341576
44,0.02,clean,0,3.9789478128242184
44,0.02,clean,0,4.135802709956122
44,0.02,clean,0,4.436979543769731
44,0.02,clean,0,3.437647392402782
44,0.02,clean,0,3.5125945434237895
44,0.02,clean,0,3.7295007315951563
44,0.02,zz_full,1,5.691452868877669
44,0.02,zz_full,1,6.557274521743904
44,0.02,zz_full,1,6.5966988485892575
44,0.02,zz_full,1,6.462489221612404
44,0.02,zz_full,1,6.159565735648737
44,0.02,zz_full,1,6.224805811583073
44,0.02,zz_full,1,6.295356629323442
44,0.02,zz_full,1,6.358230460294914
44,0.02,zz_full,1,7.210017081332646
44,0.02,zz_full,1,6.0037118712924356
44,0.02,zz_full,1,6.288175039374037
44,0.02,zz_full,1,5.9569566465924595
44,0.02,zz_full,1,6.343594359511381
44,0.02,zz_full,1,6.449029846880951
44,0.02,zz_full,1,6.378566364201045
44,0.02,z_only,1,6.043519652819824
44,0.02,z_only,1,6.937452231668308
44,0.02,z_only,1,6.196050961479538
44,0.02,z_only,1,6.397410078838633
44,0.02,z_only,1,5.989066024019067
44,0.02,z_only,1,6.311539746795035
44,0.02,z_only,1,6.007563567552577
44,0.02,z_only,1,6.068311674917858
44,0.02,z_only,1,5.967667843561277
44,0.02,z_only,1,5.62265202411446
44,0.02,z_only,1,6.680870136782528
44,0.02,z_only,1,6.513850211651337
44,0.02,z_only,1,6.214386946574123
44,0.02,z_only,1,6.017927488862908
44,0.02,z_only,1,5.9307110615781475
44,0.05,clean,0,4.318456690693644
44,0.05,clean,0,3.9191031791853432
44,0.05,clean,0,3.937680339114444
44,0.05,clean,0,3.9604754060669896
44,0.05,clean,0,4.153170642201218
44,0.05,clean,0,4.53135008561549
44,0.05,clean,0,3.917941622541045
44,0.05,clean,0,3.3851807415342225
44,0.05,clean,0,3.7823833063687466
44,0.05,clean,0,3.539821659646368
44,0.05,clean,0,4.034904306491816
44,0.05,clean,0,3.648929474741121
44,0.05,clean,0,3.8829685103200444
44,0.05,clean,0,3.635812406774153
44,0.05,clean,0,3.6431363406296766
44,0.05,zz_full,1,5.996114887115399
44,0.05,zz_full,1,5.959863024433395
44,0.05,zz_full,1,6.245906171612483
44,0.05,zz_full,1,5.980631448895814
