seed,condition,label,score
47,clean,0,3.318143378112658
47,clean,0,3.5348077195243475
47,clean,0,3.8476960259917172
47,clean,0,3.810389192470633
47,clean,0,3.5187159517058024
47,clean,0,3.641928018500346
47,clean,0,3.9118800406029908
47,clean,0,3.6822866623004837
47,clean,0,3.6281013324870184
47,clean,0,3.8498453979466536
47,random_direction,1,6.6098528238865875
47,random_direction,1,6.358964824169261
47,random_direction,1,7.0388106417095
47,random_direction,1,5.807814786737802
47,random_direction,1,6.113702242479705
47,random_direction,1,6.717230231145741
47,random_direction,1,6.9250122665452905
47,random_direction,1,6.465840637154932
47,random_direction,1,5.9330977896497235
47,random_direction,1,6.277917118643361
47,random_direction,1,5.760296055948654
47,random_direction,1,7.290887747162448
47,random_direction,1,7.029055410315963
47,random_direction,1,6.308899063460037
47,random_direction,1,6.235985595289799
47,white_box_optimized,1,3.71084282575802
47,white_box_optimized,1,3.7245780672724482
47,white_box_optimized,1,3.6679655253291044
47,white_box_optimized,1,3.344967056507951
47,white_box_optimized,1,4.54389904808866
47,white_box_optimized,1,3.9170992787894594
47,white_box_optimized,1,3.4955207933663752
47,white_box_optimized,1,4.113421905933479
47,white_box_optimized,1,3.9366175836711417
47,white_box_optimized,1,4.089366525734353
47,white_box_optimized,1,3.31587449549293
47,white_box_optimized,1,4.1204370779669715
47,white_box_optimized,1,4.141791802364329
47,white_box_optimized,1,3.1486943393658677
47,white_box_optimized,1,3.541286921665535
48,clean,0,4.0551707325525355
48,clean,0,3.895753564719507
48,clean,0,4.072271922289303
48,clean,0,3.52675987004091
48,clean,0,4.265237386118641
48,clean,0,3.857523786862185
48,clean,0,3.904417272111053
48,clean,0,3.9688989389950677
48,clean,0,4.096434696205543
48,clean,0,3.788120542040827
48,clean,0,3.682898185698915
48,clean,0,4.255059204653073
48,clean,0,3.3632698238133893
48,clean,0,3.91003315172575
48,clean,0,3.8713266522944405
48,random_direction,1,6.508104953882202
48,random_direction,1,5.728977945218937
48,random_direction,1,6.260982589752612
48,random_direction,1,5.92777479161321
48,random_direction,1,6.053481429845458
48,random_direction,1,6.331287750401704
48,random_direction,1,6.211453141973175
48,random_direction,1,7.174506735855546
48,random_direction,1,6.122601096165287
48,random_direction,1,6.600814123253739
48,random_direction,1,6.582874696348646
48,random_direction,1,6.148550343792277
48,random_direction,1,6.2200863206223875
48,random_direction,1,6.3601161247739775
48,random_direction,1,6.535451982376661
48,white_box_optimized,1,3.786631966617859
48,white_box_optimized,1,3.7294279680781863
48,white_box_optimized,1,3.779945456291079
48,white_box_optimized,1,3.7573214246579383
48,white_box_optimized,1,3.7802055120439264
48,white_box_optimized,1,3.0177825198565857
48,white_box_optimized,1,3.998159614694214
48,white_box_optimized,1,3.546153110073607
48,white_box_optimized,1,4.010135905473912
48,white_box_optimized,1,3.7925867702461273
48,white_box_optimized,1,3.769398548965082
48,white_box_optimized,1,3.103573222607585
48,white_box_optimized,1,3.9623221254795618
48,white_box_optimized,1,3.7417920265806095
48,white_box_optimized,1,3.706570766067752
49,clean,0,3.6934960831580215
49,clean,0,4.3474936020397115
49,clean,0,3.3158093931747077
49,clean,0,4.26840385029531
49,clean,0,4.009793227639378
49,clean,0,3.770255960708045
49,clean,0,4.1043347104636
49,clean,0,4.0394803232168845
49,clean,0,3.89117475610673
49,clean,0,4.453034173186637
49,clean,0,3.039722922328827
49,clean,0,3.4188450193927844
49,clean,0,3.9907143181783793
49,clean,0,4.2444964155586336
49,clean,0,4.237668080729048
49,random_direction,1,5.512927340965534
49,random_direction,1,5.589539413198937
49,random_direction,1,6.289460575311937
49,random_direction,1,5.741806667064402
49,random_direction,1,5.8173271807201825
49,random_direction,1,5.376718467861389
49,random_direction,1,5.577199704920123
49,random_direction,1,6.514131854516742
49,random_direction,1,5.729781542332178
49,random_direction,1,5.973675353762218
49,random_direction,1,6.320267109255382
49,random_direction,1,6.176878832557732
49,random_direction,1,5.945416949114698
49,random_direction,1,6.16584199401911
49,random_direction,1,5.947273116472128
49,white_box_optimized,1,3.4264434887539155
49,white_box_optimized,1,3.4981344003184254
49,white_box_optimized,1,3.6405153029431983
49,white_box_optimized,1,3.6119131638737816
49,white_box_optimized,1,3.162452035674664
49,white_box_optimized,1,3.7222565243793406
49,white_box_optimized,1,3.37329434832136
49,white_box_optimized,1,3.7521726915307334
49,white_box_optimized,1,4.303511495008999
49,white_box_optimized,1,4.1515826796324635
49,white_box_optimized,1,3.7664850059776245
49,white_box_optimized,1,4.087392804782011
49,white_box_optimized,1,3.8771480703349814
49,white_box_optimized,1,4.146678157456876
49,white_box_optimized,1,3.757887044334074
50,clean,0,3.9572474656576193
50,clean,0,3.8591306496089186
50,clean,0,3.731981411125776
50,clean,0,3.804069213093306
50,clean,0,4.720001582955006
50,clean,0,3.599096594429474
50,clean,0,3.9604206844707392
50,clean,0,4.038640410328854
50,clean,0,3.9437334704464524
50,clean,0,3.771811266428554
50,clean,0,3.8682614335126453
50,clean,0,3.6153351270276994
50,clean,0,3.9050638940440616
50,clean,0,4.3956924469839285
50,clean,0,4.085446195669648
50,random_direction,1,6.076140450271146
50,random_direction,1,6.043523776113124
50,random_direction,1,6.038173079364035
50,random_direction,1,5.788609753845009
50,random_direction,1,6.219369763707786
50,random_direction,1,5.691336146155423
50,random_direction,1,5.8548753446056585
50,random_direction,1,5.722734963004538
50,random_direction,1,5.685610488210945
50,random_direction,1,5.64547944474954
50,random_direction,1,5.905623641029167
50,random_direction,1,6.176268606185618
50,random_direction,1,6.302997322692041
50,random_direction,1,5.791252505287749
50,random_direction,1,5.6930969392519994
50,white_box_optimized,1,3.340801484405876
50,white_box_optimized,1,4.653374217737159
50,white_box_optimized,1,3.9890874436396233
50,white_box_optimized,1,4.356598702966223
50,white_box_optimized,1,3.6772272404346635
50,white_box_optimized,1,3.728828603699969
50,white_box_optimized,1,3.8921519559979183
50,white_box_optimized,1,3.707151555429811
50,white_box_optimized,1,4.34199902611826
50,white_box_optimized,1,4.032200503489468
50,white_box_optimized,1,3.934040360998754
50,white_box_optimized,1,3.8969773239285446
50,white_box_optimized,1,4.578562994997262
50,white_box_optimized,1,4.1257333652756305
50,white_box_optimized,1,3.6205733661705217
51,clean,0,3.8222279755985062
51,clean,0,3.4417890723644575
51,clean,0,3.8508518797548783
51,clean,0,4.411725212342813
51,clean,0,4.295262101016035
51,clean,0,4.411966364930332
