seed,noise_p,zz_scale,condition,label,delta_pilot
46,0.02,,clean,0,3.7143617836700584
46,0.02,,clean,0,4.041017726836908
46,0.02,,clean,0,3.1433793810381387
46,0.02,,clean,0,3.822778523414264
46,0.02,,clean,0,3.9116315635043537
46,0.02,,clean,0,4.062457027255039
46,0.02,,clean,0,4.121876012796775
46,0.02,,clean,0,3.7402599060392174
46,0.02,,clean,0,3.2117492676901795
46,0.02,,clean,0,4.039801909692211
46,0.02,,clean,0,4.240143428810841
46,0.02,,clean,0,4.4958814404143554
46,0.02,,clean,0,4.154777359492579
46,0.02,,clean,0,3.7229222048633033
46,0.02,,clean,0,4.0484538014901785
46,0.02,0.05,zz_scale_0.05,1,3.513574671130096
46,0.02,0.05,zz_scale_0.05,1,4.006266178363671
46,0.02,0.05,zz_scale_0.05,1,4.304077352203026
46,0.02,0.05,zz_scale_0.05,1,4.119081925206275
46,0.02,0.05,zz_scale_0.05,1,3.987910900721657
46,0.02,0.05,zz_scale_0.05,1,4.086712584520891
46,0.02,0.05,zz_scale_0.05,1,3.5711304953967336
46,0.02,0.05,zz_scale_0.05,1,4.026747599359461
46,0.02,0.05,zz_scale_0.05,1,3.889772638063449
46,0.02,0.05,zz_scale_0.05,1,3.76884828403756
46,0.02,0.05,zz_scale_0.05,1,4.333431251408363
46,0.02,0.05,zz_scale_0.05,1,4.410733541709876
46,0.02,0.05,zz_scale_0.05,1,3.9836394454050077
46,0.02,0.05,zz_scale_0.05,1,4.0394661398366205
46,0.02,0.05,zz_scale_0.05,1,3.690441829679841
46,0.02,0.15,zz_scale_0.15,1,4.859722729212996
46,0.02,0.15,zz_scale_0.15,1,4.326690551079105
46,0.02,0.15,zz_scale_0.15,1,3.5202572892195865
46,0.02,0.15,zz_scale_0.15,1,4.505757299516986
46,0.02,0.15,zz_scale_0.15,1,4.208020051932571
46,0.02,0.15,zz_scale_0.15,1,3.8463394682594227
46,0.02,0.15,zz_scale_0.15,1,4.001945776221815
46,0.02,0.15,zz_scale_0.15,1,4.530408070819481
46,0.02,0.15,zz_scale_0.15,1,4.216623953166921
46,0.02,0.15,zz_scale_0.15,1,4.705611896862836
46,0.02,0.15,zz_scale_0.15,1,4.149362630380278
46,0.02,0.15,zz_scale_0.15,1,4.360171977345443
46,0.02,0.15,zz_scale_0.15,1,4.107784119862689
46,0.02,0.15,zz_scale_0.15,1,4.422213870555878
46,0.02,0.15,zz_scale_0.15,1,3.8290121305701668
46,0.02,0.3,zz_scale_0.3,1,4.14243829023389
46,0.02,0.3,zz_scale_0.3,1,4.887084459791646
46,0.02,0.3,zz_scale_0.3,1,4.201344495606211
46,0.02,0.3,zz_scale_0.3,1,4.910660311141199
46,0.02,0.3,zz_scale_0.3,1,5.057000580678641
46,0.02,0.3,zz_scale_0.3,1,4.555278056192231
46,0.02,0.3,zz_scale_0.3,1,4.8677276693322025
46,0.02,0.3,zz_scale_0.3,1,4.48482132528105
46,0.02,0.3,zz_scale_0.3,1,5.005621269103102
46,0.02,0.3,zz_scale_0.3,1,4.568042090334243
46,0.02,0.3,zz_scale_0.3,1,4.530049730875799
46,0.02,0.3,zz_scale_0.3,1,4.538221337415106
46,0.02,0.3,zz_scale_0.3,1,4.54163464141031
46,0.02,0.3,zz_scale_0.3,1,4.960673016309205
46,0.02,0.3,zz_scale_0.3,1,4.935706449263285
46,0.05,,clean,0,3.408352088860392
46,0.05,,clean,0,3.552874096240034
46,0.05,,clean,0,4.020797402451331
46,0.05,,clean,0,4.1656190698776445
46,0.05,,clean,0,3.8777701979993333
46,0.05,,clean,0,4.413000662117931
46,0.05,,clean,0,3.4739277452135546
46,0.05,,clean,0,4.561989334129743
46,0.05,,clean,0,4.118710079309615
46,0.05,,clean,0,4.420118854425624
46,0.05,,clean,0,4.059934870170379
46,0.05,,clean,0,4.1076626986832965
46,0.05,,clean,0,4.2681518927040205
46,0.05,,clean,0,4.265544932161747
46,0.05,,clean,0,3.656217061942561
46,0.05,0.05,zz_scale_0.05,1,4.029906386210663
46,0.05,0.05,zz_scale_0.05,1,3.4783078998728887
46,0.05,0.05,zz_scale_0.05,1,4.637546100810886
46,0.05,0.05,zz_scale_0.05,1,3.847008593066572
46,0.05,0.05,zz_scale_0.05,1,3.5248307224033506
46,0.05,0.05,zz_scale_0.05,1,4.43643027852024
46,0.05,0.05,zz_scale_0.05,1,3.533229433175311
46,0.05,0.05,zz_scale_0.05,1,3.7008203348349538
46,0.05,0.05,zz_scale_0.05,1,3.766873351850394
46,0.05,0.05,zz_scale_0.05,1,4.391137361186389
46,0.05,0.05,zz_scale_0.05,1,3.87104472013506
46,0.05,0.05,zz_scale_0.05,1,3.8554782791394495
46,0.05,0.05,zz_scale_0.05,1,3.7602316043404063
46,0.05,0.05,zz_scale_0.05,1,3.9966048280287607
46,0.05,0.05,zz_scale_0.05,1,4.174265688013911
46,0.05,0.15,zz_scale_0.15,1,4.218814795658523
46,0.05,0.15,zz_scale_0.15,1,4.497344139051855
46,0.05,0.15,zz_scale_0.15,1,4.16311100942379
46,0.05,0.15,zz_scale_0.15,1,4.22920158262137
46,0.05,0.15,zz_scale_0.15,1,3.4194262069912877
46,0.05,0.15,zz_scale_0.15,1,4.201822802437373
46,0.05,0.15,zz_scale_0.15,1,4.273045421447365
46,0.05,0.15,zz_scale_0.15,1,4.311343239049446
46,0.05,0.15,zz_scale_0.15,1,4.145364959865903
46,0.05,0.15,zz_scale_0.15,1,3.9564249239129294
46,0.05,0.15,zz_scale_0.15,1,4.093486219031187
46,0.05,0.15,zz_scale_0.15,1,3.9219892280603097
46,0.05,0.15,zz_scale_0.15,1,4.530393786057232
46,0.05,0.15,zz_scale_0.15,1,3.7600558438181286
46,0.05,0.15,zz_scale_0.15,1,3.8606078579949488
46,0.05,0.3,zz_scale_0.3,1,5.130051144473882
46,0.05,0.3,zz_scale_0.3,1,4.9112589371885225
46,0.05,0.3,zz_scale_0.3,1,4.507173834644789
46,0.05,0.3,zz_scale_0.3,1,4.307807141473529
46,0.05,0.3,zz_scale_0.3,1,5.051884399695373
46,0.05,0.3,zz_scale_0.3,1,5.037425682061221
46,0.05,0.3,zz_scale_0.3,1,4.730765890917179
46,0.05,0.3,zz_scale_0.3,1,4.57909828680023
46,0.05,0.3,zz_scale_0.3,1,4.446624139193515
46,0.05,0.3,zz_scale_0.3,1,5.2015235831570665
46,0.05,0.3,zz_scale_0.3,1,4.711828190542495
46,0.05,0.3,zz_scale_0.3,1,4.689015644605705
