seed,condition,label,score_manifold,score_naive_offdiag,score_trace_distance
43,clean,0,3.6711139817121583,6.2708881788318225,0.26016578686535285
43,clean,0,3.8639553142859664,6.969929517816881,0.28766577772053725
43,clean,0,3.6788044970232208,6.9566051884035724,0.2652006689199401
43,clean,0,3.855203798661379,7.152848332539942,0.2735448410101989
43,clean,0,4.012065114531017,7.222608098705745,0.2429133230090915
43,clean,0,3.9656976825066153,6.899623106493061,0.2592957604158298
43,clean,0,4.116353787912661,6.884140783499438,0.2521909958771523
43,clean,0,3.7968085846160773,6.964363084134361,0.27236409082691426
43,clean,0,4.062072388746887,7.36228801479935,0.2734862239246528
43,clean,0,4.309969695834604,7.493601306412881,0.2653538695566262
43,clean,0,3.768781757958064,6.427277181437336,0.24905038118032422
43,clean,0,3.985767400642819,7.185181946287702,0.28174306891167467
43,clean,0,3.801447871617864,7.204565859293327,0.25223815091039475
43,zz_scale_0.05,1,4.271857917104321,7.379894681890106,0.2688047223102489
43,zz_scale_0.05,1,3.746085416429229,6.951980775693635,0.27590891177967714
43,zz_scale_0.05,1,3.987424301053003,6.387242218208365,0.2546812759630177
43,zz_scale_0.05,1,4.100213102588733,7.069330841589909,0.25112270203896836
43,zz_scale_0.05,1,4.923941444357488,8.0855725278555,0.288960161324063
43,zz_scale_0.05,1,3.323825289174606,6.392533604283395,0.2707362581418792
43,zz_scale_0.05,1,4.099504664122389,7.18647979890408,0.2838101937269348
43,zz_scale_0.05,1,3.891064038316105,6.980417704510568,0.25774911222756947
43,zz_scale_0.05,1,3.6388038144102746,6.405635906034656,0.23643428270180178
43,zz_scale_0.05,1,3.9725527791281428,6.719665274276346,0.26542399485213125
43,zz_scale_0.05,1,4.114167825993121,7.117734324203647,0.26436561936031766
43,zz_scale_0.05,1,3.6916469426228096,7.274226296278135,0.2729123731999381
43,zz_scale_0.05,1,3.890203019519778,6.638073883723733,0.24284700718265134
43,zz_scale_0.05,1,3.6741605933150185,6.849372351722744,0.26261243556418473
43,zz_scale_0.05,1,3.5297478740063957,6.713344593922093,0.25368016535124527
43,zz_scale_0.15,1,4.17039925446967,7.452780326454693,0.29639547994250165
43,zz_scale_0.15,1,4.729076091778647,7.503911070338408,0.2955760893705727
43,zz_scale_0.15,1,4.354367716372883,7.1416327583585995,0.2843371782252715
43,zz_scale_0.15,1,4.96099296615253,7.202324809333941,0.31238371286676525
43,zz_scale_0.15,1,4.618718654412158,7.74731793854109,0.305883638821168
43,zz_scale_0.15,1,4.867569898500857,8.189000988624533,0.33863096272213933
43,zz_scale_0.15,1,4.403441442153224,7.252359310606815,0.29708240769234207
43,zz_scale_0.15,1,4.7804848624019565,7.107070075050787,0.30987844565695744
43,zz_scale_0.15,1,4.617458486760186,7.09594794470295,0.29980557994703716
43,zz_scale_0.15,1,4.98828628905112,7.938400168274167,0.3074553663846118
43,zz_scale_0.15,1,4.5398376235329385,7.708488136992509,0.3152516939663878
43,zz_scale_0.15,1,4.6206010934022,7.2494806779787035,0.30246289063660536
43,zz_scale_0.15,1,4.550511439697894,7.8454741465310995,0.30619804061979006
43,zz_scale_0.15,1,4.49639079628119,7.289350332442502,0.2923034084135068
43,zz_scale_0.15,1,4.4724812418255135,7.478640857455621,0.3107098704266896
43,zz_scale_0.3,1,4.932096553859098,7.86428582108777,0.3773617508995084
43,zz_scale_0.3,1,5.3930350205697914,8.329820961458042,0.3636397996264335
43,zz_scale_0.3,1,5.078986356285895,7.9534902309703694,0.39215252223287594
43,zz_scale_0.3,1,5.2354912839496714,8.514607429800805,0.3969120796708589
43,zz_scale_0.3,1,4.947478262012439,7.953502848766938,0.36515844402930886
43,zz_scale_0.3,1,5.720106280327888,8.555589667776326,0.3951184345005721
43,zz_scale_0.3,1,4.962783045938551,8.42924540532559,0.37812872181836843
43,zz_scale_0.3,1,4.78314479520086,8.281346862517626,0.372806559644109
43,zz_scale_0.3,1,4.97266608939373,8.259692042164255,0.3886397449056093
43,zz_scale_0.3,1,4.864674868790976,7.775973753457854,0.3825151397070202
43,zz_scale_0.3,1,5.648854203876001,8.701209467346299,0.3887402901888446
43,zz_scale_0.3,1,5.5682568722280275,8.879675318510527,0.3900693623187353
43,zz_scale_0.3,1,5.475604571969467,8.330306557113643,0.402584016497446
43,zz_scale_0.3,1,5.9631111497726845,8.583809929199846,0.41042974124517606
43,zz_scale_0.3,1,5.417512576371435,8.728048919588387,0.4103066445253535
43,zz_scale_0.6,1,6.31599370878397,10.879590671018322,0.5557431549482562
43,zz_scale_0.6,1,6.944367670110954,10.401348739477793,0.5516185651491559
43,zz_scale_0.6,1,6.351528411197734,10.03232073766093,0.5362253961085159
43,zz_scale_0.6,1,6.047319123467424,9.941725681752704,0.5257251392154844
43,zz_scale_0.6,1,5.8254165009776475,10.243222190123827,0.5652228484812282
43,zz_scale_0.6,1,6.7417876457844175,10.12601477694927,0.5310447284366995
43,zz_scale_0.6,1,5.957779975369234,10.24051898334436,0.5446587365977089
43,zz_scale_0.6,1,6.2441314949242015,10.022412585430201,0.530596818113337
43,zz_scale_0.6,1,6.209217118457893,10.016486877957124,0.5394412664316581
43,zz_scale_0.6,1,6.740581392284246,10.344331774184287,0.5674939730566909
43,zz_scale_0.6,1,5.921610370625851,9.611272986520591,0.5306929836025274
43,zz_scale_0.6,1,6.556058253001561,10.187838768292893,0.5588716946933945
43,zz_scale_0.6,1,6.1579298562256835,10.564308258905111,0.5539885577984662
43,zz_scale_0.6,1,5.954486801108837,9.76709038186761,0.5252024940548519
43,zz_scale_0.6,1,6.122385245163206,10.048642562084346,0.5074734057042661
43,zz_scale_1.0,1,6.22336185365753,11.001849738251387,0.6118601344239734
43,zz_scale_1.0,1,5.712094659960461,10.306930094487415,0.6057637844520909
43,zz_scale_1.0,1,6.186269665009635,10.530288307853112,0.574985857281928
43,zz_scale_1.0,1,6.074252191402916,10.164558649454047,0.5764359506930758
43,zz_scale_1.0,1,6.684107725569203,10.954517294730993,0.5896858221885295
43,zz_scale_1.0,1,5.9394032684237965,10.97844999687823,0.5980474949272305
43,zz_scale_1.0,1,6.349708503759615,10.461673655531191,0.5876716763449565
43,zz_scale_1.0,1,6.327991376218949,10.691803843099088,0.6092616024930269
43,zz_scale_1.0,1,5.997033594631955,10.129855170924271,0.5838554258140912
43,zz_scale_1.0,1,6.851503577401391,11.139756170621233,0.6011865268845944
43,zz_scale_1.0,1,5.782744362241801,10.171202268614088,0.5751028167251686
43,zz_scale_1.0,1,5.8367012597170325,10.649596368731865,0.5794587725505591
43,zz_scale_1.0,1,6.100710172830009,10.947259240758626,0.6091128271201044
43,zz_scale_1.0,1,6.585351599657009,10.891722669000009,0.5929793661870291
43,zz_scale_1.0,1,5.698307347350528,10.312182610587264,0.5705633081296431
