seed,condition,label,delta_pilot
46,zz_scale_1.0,1,8.033536434796297
46,zz_scale_1.0,1,8.432160753128185
46,zz_scale_1.0,1,7.8341443396446735
46,zz_scale_1.0,1,8.590208411101774
46,zz_scale_1.0,1,7.167752861415277
46,zz_scale_1.0,1,8.568280722887295
46,zz_scale_1.0,1,8.368698442312159
46,zz_scale_1.0,1,7.6365171641098835
46,zz_scale_1.0,1,9.163701132038895
46,zz_scale_1.0,1,8.350917178125115
46,zz_scale_1.0,1,8.358796916932942
46,zz_scale_1.0,1,8.625057031404458
46,z_only,1,7.998136713433579
46,z_only,1,8.612475524231392
46,z_only,1,8.715655136858379
46,z_only,1,8.47045879621073
46,z_only,1,8.43344977021927
46,z_only,1,8.222088925254765
46,z_only,1,8.215578484368411
46,z_only,1,8.547681183125409
46,z_only,1,8.053393842858613
46,z_only,1,8.422562673004713
46,z_only,1,8.387174980917186
46,z_only,1,8.172061533439408
46,z_only,1,8.102939907868187
46,z_only,1,9.071546208804262
46,z_only,1,8.041151058419633
47,clean,0,6.198864458395928
47,clean,0,5.293617240750484
47,clean,0,5.945192196651259
47,clean,0,5.600159480684363
47,clean,0,5.561003136532782
47,clean,0,5.38702497736365
47,clean,0,6.469527263057116
47,clean,0,6.406522404778953
47,clean,0,6.24562666702759
47,clean,0,5.794106416043308
47,clean,0,6.012307101592119
47,clean,0,6.082029686944766
47,clean,0,6.131384962764844
47,clean,0,5.824549647302475
47,clean,0,6.052947113053903
47,zz_scale_0.05,1,6.239173002786589
47,zz_scale_0.05,1,5.915414342764626
47,zz_scale_0.05,1,5.195620093131008
47,zz_scale_0.05,1,5.836316336077773
47,zz_scale_0.05,1,6.364729312504955
47,zz_scale_0.05,1,7.078412167522729
47,zz_scale_0.05,1,6.598909862120142
47,zz_scale_0.05,1,5.850923811206066
47,zz_scale_0.05,1,6.358597202480609
47,zz_scale_0.05,1,5.929061166420188
47,zz_scale_0.05,1,6.444408357554589
47,zz_scale_0.05,1,5.795138051065804
47,zz_scale_0.05,1,6.364484704854824
47,zz_scale_0.05,1,5.730664735022765
47,zz_scale_0.05,1,6.443844612094281
47,zz_scale_0.15,1,6.207037079039917
47,zz_scale_0.15,1,6.344062574773906
47,zz_scale_0.15,1,6.198975808543969
47,zz_scale_0.15,1,7.260524244826834
47,zz_scale_0.15,1,7.227767498812044
47,zz_scale_0.15,1,5.762817970951018
47,zz_scale_0.15,1,6.612276896732917
47,zz_scale_0.15,1,6.290909654998869
47,zz_scale_0.15,1,5.86429381266016
47,zz_scale_0.15,1,5.533065058024002
47,zz_scale_0.15,1,7.18221422491565
47,zz_scale_0.15,1,6.437193276104476
47,zz_scale_0.15,1,6.46640450252207
47,zz_scale_0.15,1,5.6879180088383965
47,zz_scale_0.15,1,6.608980499800986
47,zz_scale_0.3,1,7.063327818819901
47,zz_scale_0.3,1,7.753173081831826
47,zz_scale_0.3,1,7.766971291443064
47,zz_scale_0.3,1,7.5280769946383765
47,zz_scale_0.3,1,7.3471780018531
47,zz_scale_0.3,1,7.74170901335417
47,zz_scale_0.3,1,7.840063076047489
47,zz_scale_0.3,1,7.918822686289318
47,zz_scale_0.3,1,7.174698366911506
47,zz_scale_0.3,1,7.507647934934238
47,zz_scale_0.3,1,7.470972824229562
47,zz_scale_0.3,1,7.511058698398031
47,zz_scale_0.3,1,7.616222305616188
47,zz_scale_0.3,1,7.989564177572028
47,zz_scale_0.3,1,7.805521249906686
47,zz_scale_0.6,1,7.833166169462561
47,zz_scale_0.6,1,9.678883576573595
47,zz_scale_0.6,1,8.463660418803391
47,zz_scale_0.6,1,8.898479777743992
47,zz_scale_0.6,1,8.794655762272287
47,zz_scale_0.6,1,8.676049264501852
47,zz_scale_0.6,1,8.713003971947355
47,zz_scale_0.6,1,8.635522237553863
47,zz_scale_0.6,1,7.856862119857203
47,zz_scale_0.6,1,9.965848685133984
47,zz_scale_0.6,1,8.522028202307466
47,zz_scale_0.6,1,8.540504165123195
47,zz_scale_0.6,1,8.477707883440614
47,zz_scale_0.6,1,7.87097485265329
47,zz_scale_0.6,1,9.107606685065726
47,zz_scale_1.0,1,7.926358628489778
47,zz_scale_1.0,1,8.065146888310064
47,zz_scale_1.0,1,9.219968363914667
47,zz_scale_1.0,1,8.346622144769892
47,zz_scale_1.0,1,8.696714592684959
47,zz_scale_1.0,1,9.656151157127562
47,zz_scale_1.0,1,8.4296430342911
47,zz_scale_1.0,1,9.489373187790413
47,zz_scale_1.0,1,9.163533932641117
47,zz_scale_1.0,1,8.381823642771597
47,zz_scale_1.0,1,9.092231651874046
47,zz_scale_1.0,1,8.098570096564934
47,zz_scale_1.0,1,8.202271117436997
47,zz_scale_1.0,1,8.551037429315842
47,zz_scale_1.0,1,8.923618392036683
47,z_only,1,9.544174441410227
47,z_only,1,9.809853686816371
47,z_only,1,9.227913314500054
47,z_only,1,8.980002057606416
47,z_only,1,8.641672930194149
47,z_only,1,8.740184560307798
47,z_only,1,9.085428925650593
